"station_id","obsTime","ELEV","RAIN","MIN_10","HOUR_3","HOUR_6","HOUR_12","HOUR_24","NOW"
"CAN040","2022-09-14 00:00:00","33.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0Z270","2022-09-14 00:00:00","343.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01L490","2022-09-14 00:00:00","78.000","-998.000","-998.000","-998.000","-998.000","0.000","6.000","6.000"
"C0E810","2022-09-14 00:00:00","53.000","-998.000","-998.000","-998.000","-998.000","0.000","7.000","7.000"
"C0R640","2022-09-14 00:00:00","21.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01T9L0","2022-09-14 00:00:00","110.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0D580","2022-09-14 00:00:00","120.000","-998.000","-998.000","-998.000","-998.000","0.000","11.000","11.000"
"C0M660","2022-09-14 00:00:00","40.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"81K580","2022-09-14 00:00:00","305.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"C1F891","2022-09-14 00:00:00","2205.000","0.000","0.000","0.000","1.000","3.000","19.000","19.000"
"E2S980","2022-09-14 00:00:00","100.000","0.000","0.000","15.000","17.000","17.000","17.000","17.000"
"C0U780","2022-09-14 00:00:00","15.000","-998.000","-998.000","-998.000","-998.000","0.000","1.000","1.000"
"C0U760","2022-09-14 00:00:00","22.000","-998.000","-998.000","-998.000","-998.000","0.000","12.000","12.000"
"C0X290","2022-09-14 00:00:00","10.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0H9C0","2022-09-14 00:00:00","3402.000","-998.000","-998.000","-998.000","-998.000","1.000","2.500","2.500"
"O1T800","2022-09-14 00:00:00","103.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R830","2022-09-14 00:00:00","383.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V650","2022-09-14 00:00:00","28.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"CAB010","2022-09-14 00:00:00","49.000","1.000","0.000","5.000","21.000","23.500","34.500","34.500"
"CAJ020","2022-09-14 00:00:00","50.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81H960","2022-09-14 00:00:00","363.000","-998.000","-998.000","-998.000","-998.000","0.000","7.500","7.500"
"CAL020","2022-09-14 00:00:00","43.000","-998.000","-998.000","-998.000","-998.000","0.000","0.500","0.500"
"01S610","2022-09-14 00:00:00","31.000","2.000","0.000","14.000","14.000","14.000","14.000","14.000"
"C0T9N0","2022-09-14 00:00:00","261.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1N001","2022-09-14 00:00:00","24.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0Z070","2022-09-14 00:00:00","247.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C1F9B1","2022-09-14 00:00:00","130.000","-998.000","-998.000","-998.000","-998.000","0.500","3.000","3.000"
"C0SA40","2022-09-14 00:00:00","200.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0V440","2022-09-14 00:00:00","27.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"81F890","2022-09-14 00:00:00","226.000","-998.000","-998.000","-998.000","-998.000","0.500","3.000","3.000"
"C0X230","2022-09-14 00:00:00","29.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0S770","2022-09-14 00:00:00","375.000","0.000","0.000","8.000","8.000","8.000","8.000","8.000"
"C0H890","2022-09-14 00:00:00","440.000","-998.000","-998.000","-998.000","-998.000","0.000","7.500","7.500"
"C0Z160","2022-09-14 00:00:00","124.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"C0R540","2022-09-14 00:00:00","17.000","-998.000","-998.000","-998.000","-998.000","0.000","0.000","0.000"
"01E030","2022-09-14 00:00:00","550.000","-998.000","-998.000","-998.000","-998.000","3.000","49.000","49.000"
"L1A790","2022-09-14 00:00:00","202.000","0.500","0.000","1.000","1.500","38.000","99.500","99.500"
"C0AH50","2022-09-14 00:00:00","275.000","17.000","5.500","20.500","20.500","34.000","63.500","63.500"
"C1AI50","2022-09-14 00:00:00","64.000","9.500","0.500","19.000","31.000","31.500","60.000","60.000"
"88K590","2022-09-14 00:00:00","393.000","-998.000","-998.000","-998.000","-998.000","0.000","26.000","26.000"
"C0B020","2022-09-14 00:00:00","86.000","0.000","0.000","0.500","2.000","2.000","2.000","2.000"
"L1A830","2022-09-14 00:00:00","210.000","3.000","0.000","7.500","15.000","24.500","80.500","80.500"
